163ce1e2	1	Mörkgrått skoskåp med två klaffluckor och ljus topskiva, mot vit bakgrund
163ce1e2	2	Skoskåpet uppställt i en hall under en hylla med krokar
163ce1e2	3	Måttskiss med 80 × 26 × 72 cm samt luckans breddmått 57 cm
163ce1e2	4	Skoskåpet i en hall med hörlurar och hatt på hyllan ovanför, vas och miniklocka ovanpå
163ce1e2	5	Skoskåpet i en ljus hall med skor synliga i de öppna luckorna
1d3f6755	1	Fem mjuka byggklossar i blått, grönt och grått, mot vit bakgrund
1d3f6755	2	Ett barn kliver på klossarnas ramp och kub i ett lekrum
1d3f6755	3	Måttskiss på klossarnas fem former med cm-mått
1d3f6755	4	Två barn bygger ett torn av grå block, en blå kub och den gröna rampen
1d3f6755	5	Klossarna uppställda på en rund matta i ett barnrum med ett tält i bakgrunden
300a9113	1	Svart kökssoptunna med pedal och ribbat mönster, mot vit bakgrund
300a9113	2	Soptunnan uppställd i ett kök med marmordiskbänk
300a9113	3	Måttskiss med soptunnans bredd 45,5 cm och de två 20-liters facken
300a9113	4	Soptunnan i ett ljust rum bredvid en hög krukväxt
300a9113	5	Soptunnan öppen med de två löstagbara inneremmarna synliga
671465dc	1	Svart vibrationsplatta i hopfällt läge, med blått LED-ljus längs kanten
671465dc	2	En kvinna tränar stående på plattan med de medföljande träningsbanden, i ett vardagsrum
671465dc	3	Måttskiss med plattans mått 48 × 32 × 13 cm och träningsbandens längd 85 cm
90214a8b	1	Beige stoppad sittbänk med knappdekor på svarvade träben, mot vit bakgrund
90214a8b	2	Sittbänken uppställd vid en sängkant i ett sovrum
90214a8b	3	Måttskiss med 80 cm längd, 40 cm djup och 43 cm höjd
90214a8b	4	Närbild på den knappstoppade sitsen och det snidade träbenet
90214a8b	5	Närbild på tygets vävstruktur och knapparnas stoppning
fdea573f	1	Grå blomlåda med inbyggt spaljé, planterad med gröna växter på en terrass
fdea573f	2	Måttskiss med 103 cm höjd, 103 cm längd och 29 cm djup
fdea573f	3	Närbild på spaljéns flätade konstruktion och sammanfogningen upptill
fdea573f	4	Närbild på hörnets flätning där lådan möter spaljén
fdea573f	5	Närbild på lådans flätmönster med gröna blad hängande över kanten
