# Semrush, databas se. Två sökord mättes 2026-09-26 (phrase_these, volym utan svårighet); därefter svarade Semrush
# 403 API UNITS BALANCE IS ZERO, så övriga rader är hämtade ur tidigare rundors sokord.tsv (september 2026).
# sökord, sökningar/mån, svårighet (0–100), runda
uppblåsbar tomte	880	–	runda-n68-nyaste
konstgjord palm	140	11	runda-n68-nyaste (volym) och runda-n58-billigast (svårighet)
halloween häxa	210	13	runda-n57-billigast
halloween dekoration	2400	18	runda-n57-billigast
juldekoration utomhus	1300	18	runda-n63-billigast
vedställ utomhus	590	15	runda-n59-billigast
vedställ	3600	25	runda-n59-billigast
konstväxt	2900	20	runda-n65-nyaste
konstväxt palm	70	15	runda-n58-billigast
bäddsoffa	49500	27	runda-n64-nyaste
liten bäddsoffa	2900	22	runda-n64-nyaste
loungefåtölj	2400	19	runda-n64-nyaste
läsfåtölj	1300	16	runda-n64-nyaste
sidobord	18100	18	runda-n58-billigast
