1236c73a	902cd274b1bf72eb	2343
19526d20	31fafc6d7efbedd2	2983
21839061	6df46b62086804ad	2661
3387604c	763b734dcbacf7a6	2773
3f2bf381	d4e1782e469626b3	2899
4362ebd1	a514c2881f705733	2679
516ca092	499c287113bdfb8e	2589
526d7fb5	03fd3f3496d94f3b	3273
55017e3e	358d54231854f6b7	2825
5a1e8d57	616089ff70eca02f	2749
5ea9939c	ab66950e98e2ee43	2964
8e7a2b9a	27f1a5c5dbbcc9e8	2633
935f0ff6	4aa6e50ce2a57df0	2320
93dfdaba	d7f56ac3200c8b6f	2551
ab747da4	be3cb05e944f1ef5	2400
c0b12a9f	a9d5a46ddfc32ff0	2572
cfac92b3	c1961f3b67d59c02	2784
d4a79b77	cfcefa26b01ed887	2589
e1d34336	5ac48146031aebf2	2713
f8f44ef7	9c4e03a3e03811c8	2814
