# kort, huvudsökord, volym, svårighet, sekundära sökord ('–' = inget mätvärde, Semrush-enheterna slut)
# Varje huvudsökord är sökt i butikens sökning; där en publicerad slug redan bar ordet valdes en smalare variant.
57e419f1	vit byrå	–	–	byrå med lådor; byrå 118 cm; skänk vit
61ae7313	cloud soffa	–	–	modulsoffa; manchestersoffa; soffa utan ram
e81fc121	manchestersoffa	–	–	2-sits soffa; liten soffa; tvåsitssoffa
e74feea1	smyckesskåp dörr	–	–	smyckesskåp med spegel; smyckesskåp led; helfigursspegel
00ba5823	köksskåp svart	–	–	högskåp kök; skåp med mikrohylla
33cde470	golvfåtölj bäddbar	–	–	golvfåtölj; golvsoffa; bäddfåtölj
dad09721	julgran utomhus	–	–	julgran (22200, 25); julgran med belysning; liten julgran
087cb4b8	frisörpall	–	–	rullpall med ryggstöd; salongspall; arbetspall
af6f39a6	sideboard svart	–	–	sideboard; skänk; köksskåp smalt
90c30789	badrumsspegel med belysning	3600	22	badrumsspegel (5400, 23); spegel med belysning (5400, 21)
d1026aaa	helkroppsspegel med belysning	–	–	helkroppsspegel (4400, 19); spegel med belysning (5400, 21)
6e1378d6	elkamin brun	–	–	elkamin; elektrisk kamin; elkamin med hylla
181a3522	vedhylla	390	21	vedställ (3600, 25); vedställ inomhus (1900, 21)
99ab915a	uppresningsfåtölj	–	–	fåtölj (60500, 27); massagefåtölj; reclinerfåtölj
b15b7854	gunghäst	–	–	gunghäst med ljud; gunghäst 1 år
bdc28a4b	grön kontorsstol	–	–	kontorsstol; skrivbordsstol; kontorsstol linne
cfdbd5e9	ljusgrå kontorsstol	–	–	ergonomisk kontorsstol; kontorsstol med fotstöd; kontorsstol mesh
bb45be9d	redskapsbod med fönster	–	–	redskapsbod metall; förråd trädgård
9e157d1d	litet förråd	–	–	redskapsbod liten; förråd trädgård
