# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
soffbord	74000	28	1
badrumsskåp	27100	20	1
runt matbord	18100	26	1
sidobord	18100	18	1
kommod badrum	5400	22	1
träningsbänk	5400	18	1,0
säng 90x200	4400	16	0
sängram 90x200	4400	16	0
badrumskommod	3600	21	1
konstgjorda växter	3600	23	1
runt bord	3600	23	1,0
runt köksbord	3600	23	1,0
satsbord	3600	13	1
gästsäng	2900	17	1
konstväxter	2900	20	1
tvättställsskåp	2400	18	3
romerska ringar	1900	17	1
ståbord	1900	11	1
enkelsäng	1600	24	0
litet köksbord	1600	23	1
gymnastik barn	1300	13	1
skänk vit	1300	16	1
väggskåp badrum	1300	12	1,0
höj och sänkbart bord	1000	22	1
laptopbord	1000	13	1,3
badrumsskåp vägg	880	20	0
litet runt bord	880	23	1
ficus	720	18	1,3
gymnastikringar	720	12	1
klätterställning inomhus	720	16	1
litet badrumsskåp	590	13	1,3
stepper	590	12	0
cafébord	480	16	1
ringar barn	480	13	1
underskåp handfat	480	15	1
handfatsskåp	390	18	1,3
mini stepper	390	15	1
ministepper	390	15	1
situp bänk	390	12	1
snurrplatta	390	15	1
säng 90	390	15	0
bistrobord	320	9	1
konstgjort träd	320	7	1
satsbord ek	320	12	1,3
järnsäng	260	12	1
sängram metall	260	16	1,3
enkelsäng 90x200	210	12	0
badrumsskåp vit	170	10	1
kommod handfat	170	21	1
soffbord set	170	20	1,3
konstgjord palm	140	11	1
skåp över toalett	140	14	1
datorbord på hjul	110	11	1
metallsäng	110	17	1
konstväxt träd	90	14	1,3
litet tvättställsskåp	90	9	1
magbänk	90	12	1
sit up bänk	90	9	1,3
snurrskiva	90	8	1
snurrstol barn	90	16	1,3
ståskrivbord	90	21	1,3
konstväxt palm	70	15	1
tvättställsskåp fristående	70	15	3
badrumsskåp bambu	50	16	1,3
badrumsskåp fristående	30	18	0
balansleksak	30	9	1
gymnastikställning	30	8	1
smalt tvättställsskåp	30	10	1
stor konstväxt	30	15	1
konstgjord fikus	20	0	
laptopbord på hjul	20	0	
sidobord set	20	0	
steppmaskin	20	0	
säng metall	20	0	
tvättställsskåp 40 cm	20	0	
köksbord för två	10	0	
gymnastikräck	0	0	
hängskåp badrum	0	0	
konstgjord ficus	0	0	
magträning bänk	0	0	
väggskåp bambu	0	0	
