# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
soffbord	74000	28	1
fåtölj	60500	27	1
bäddsoffa	49500	27	1
sängbord	40500	30	1
matbord	27100	26	0
julgran	22200	25	1,3
bokhylla	18100	27	1,0
bokhyllor	18100	27	1,0
hylla	18100	30	1
nattduksbord	18100	29	1
runt matbord	18100	26	1
sidobord	18100	18	1
avlastningsbord	14800	18	1
hopfällbart bord	12100	20	1
köksstol	12100	27	1
köksstolar	12100	27	1
matstol	12100	27	0
matstolar	12100	27	0
bänk	9900	19	1
köksbord	9900	28	1
barstol	8100	25	0
barstolar	8100	25	0
klaffbord	8100	19	1
runt soffbord	8100	18	1
soffbord runt	8100	25	1
matbänk	6600	21	0
sittbänk	6600	21	0
plastgran	5400	25	0
brickbord	4400	23	1
förvaringshylla	4400	30	2
hallbänk	3600	18	0
köksbord runt	3600	25	1
runt bord	3600	23	1,0
runt köksbord	3600	23	1,0
satsbord	3600	13	1
köksbänk	2900	21	3
liten bäddsoffa	2900	22	1
soffbord svart	2900	17	3
tidningsställ	2900	17	1
litet matbord	2400	21	1
loungefåtölj	2400	19	1
träbänk	2400	18	1,3
bäddsoffa 2 sits	1900	17	1
bäddsoffa 2-sits	1900	17	1
fällbart bord	1900	21	1
barpall	1600	23	1
glasbord	1600	20	0
julgran plast	1600	19	1
litet köksbord	1600	23	1
fällbord	1300	17	1
läsfåtölj	1300	16	1
barstol med ryggstöd	1000	23	1
fåtölj retro	1000	13	1,3
laptopbord	1000	13	1,3
litet sidobord	1000	21	1
konstgran	880	15	1,0
retro fåtölj	880	13	1
bänk trä	720	12	1
hundtandsmönster	720	20	1
hylla vardagsrum	720	19	1
matbord vit	720	13	1,3
runt sidobord	720	16	1
sidobord soffa	720	22	1,3
julgran smal	590	16	1
matbord glas	590	13	1
smal julgran	590	14	1,3
smalt sidobord	590	15	1,0
tidningshållare	590	18	1,2
väggbord	590	17	1
bäddsoffa beige	480	13	3
sittbänk trä	480	13	1,3
soffa säng	480	26	1,3
vitt runt matbord	480	17	1
barstol höj och sänkbar	390	21	1
konstgjord julgran	390	20	1
sidobord med förvaring	390	13	1
sidobord metall	390	13	1,3
sidobord svart	390	15	1,3
öppen bokhylla	390	10	1
bänk inomhus	320	10	1,3
matbord 2 personer	320	15	0
matbord furu	320	11	1
matstolar grå	320	13	0
sidobord glas	320	13	1
bokhylla svart	260	16	1,3
bäddsoffa tvåsits	260	16	0
julgran med snö	260	13	1
konstgjord gran	260	10	1,3
runt glasbord	260	14	1,3
bäddsoffa sammet	210	14	0
hopfällbart matbord	210	18	1,3
julgran 180 cm	210	13	0
matbord för två	210	14	1
bokhylla metall	170	13	1,3
nattduksbord smalt	170	17	1
sidobord smalt	170	18	1
soffbord set	170	20	1,3
barstol snurrbar	140	9	1,3
glasbord matbord	140	13	1
runt matbord glas	140	15	1,3
satsbord svart	140	11	1,3
sängbord med laddare	140	8	1
avlastningsbord soffa	110	16	1
fällbart matbord	110	16	1,3
fåtölj med armstöd	110	13	1,0
matstol sammet	110	9	1
matstolar sammet	110	9	1
satsbord glas	110	13	1,3
brickbord svart	90	8	1,3
hopfällbart sidobord	70	17	1
runda satsbord	70	13	1,3
glasbord runt	50	13	1,3
matbordsbänk	40	10	0
barstolar 2-pack	30	0	
fåtölj mönstrad	30	7	1,3
konstgjord julgran 180 cm	30	0	
satsbord metall	30	0	
laptopbord soffa	20	0	
nattduksbord med usb	20	0	
runt matbord 2 personer	20	0	
soffa som blir säng	20	0	
bokhylla industriell	10	0	
datorbord soffa	10	0	
satsbord runda	10	0	
sidobord med tidningsställ	10	0	
sovsoffa	10	0	
smal konstgjord julgran	0	0	
