cf92c3bd	Konstgjord dieffenbachia 95 cm med kruka | Fyndplats	Konstgjord dieffenbachia på 95 cm med gulrandiga blad och grenar som går att böja. Kruka med cement ingår – för inomhus och utomhus.
e36dab73	Julgran 150 cm med 294 grenspetsar | Fyndplats	Konstgjord julgran på 150 cm, 46 cm i diameter, med 294 grenspetsar och en fot som går att ta av och fälla ihop. Pynt ingår inte.
a7e88a1b	Ergonomisk sittdyna i memoryskum | Fyndplats	Ergonomisk sittdyna i memoryskum med urtag för svanskotan, luftigt överdrag i mesh och halkfri undersida. 44 × 39 × 13 cm.
b5b3b852	Elektronisk darttavla för 1–8 spelare | Fyndplats	Elektronisk darttavla med LCD-display, 18 spel i 159 varianter och röstmeddelanden på engelska. Sex pilar och 24 extra mjuka spetsar ingår.
e90dcc5a	Balansstenar i TPR för barn 3–8 år | Fyndplats	Sex balansstenar i tre storlekar med strukturerad yta och halkfri kant. För barn mellan 3 och 8 år, inomhus och utomhus – bär upp till 80 kg.
0dfaa38b	Medicinskåp 25 × 48 cm med tre plan | Fyndplats	Låsbart medicinskåp i rostfritt stål med frostad glasdörr, tre plan på 14 cm och två nycklar. 25 × 12 × 48 cm och klarar badrummet.
10cd6afb	Smalt konsolbord 75 cm i marmorlook | Fyndplats	Smalt konsolbord med skiva i marmorlook och vit stomme av metall. 75 × 24 × 76 cm, justerbara fötter och tippskydd – för hall och vardagsrum.
00d6f785	LED-björk 150 cm med 120 varmvita lampor | Fyndplats	Vit LED-björk på 150 cm med 120 varmvita lampor i tre ljusstyrkor, IP44 och 5 m sladd. För inomhus och utomhus under tak – markankare ingår.
0feec456	Tipitält för katt och liten hund | Fyndplats	Tipitält för katter upp till 5 kg och små hundar, med tvättbar dyna, halkfri bottenmatta och fjäderleksak. 60 × 60 × 76 cm med stänger av furu.
1476f00c	Leksakshylla med sex tygboxar, grön | Fyndplats	Grön leksakshylla för barn mellan 3 och 8 år, med sex tygboxar i tre storlekar. 63 × 30 × 66 cm med stomme av MDF och stål.
