# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
sänggavel	27100	18	1
högtryckstvätt	18100	29	0
biljard	9900	43	3
biljardbord	4400	18	1
tältsäng	4400	17	1
klädskåp	3600	18	1
sänggavel 140	3600	15	1
gästsäng	2900	17	1
gymnastikmatta	2400	18	1
plåtskåp	2400	13	1,3
extrasäng	1900	17	1,3
bilramp	1600	18	1
bilramper	1600	18	1
hopfällbar säng	1300	16	0
låsbart skåp	880	16	1
omklädningsskåp	720	10	1
mini biljardbord	590	16	1,3
skåp med lås	590	14	1
sänggavel 140 cm	590	14	1
uppkörningsramp	590	14	1
uppkörningsramper	590	14	1
metallskåp	480	18	1
träningsmatta tjock	480	11	1,0
sänggavel grå	390	15	1,3
huvudgavel	320	18	0
högtryckstvättar	320	22	1,0
gästsäng hopfällbar	260	14	0
sänggavel sammet	260	12	1
fällsäng	210	18	1
högtryckstvätt billig	210	28	3
kajakhållare	210	18	1,3
litet biljardbord	210	17	1,0
tjockmatta	210	9	1
biljardbord barn	140	14	1,3
fallskyddsmatta	140	4	1
gympamatta	140	17	1
biljardbord hopfällbart	110	13	0
personalskåp	110	10	1
sänggavel stoppad	110	13	1
gymnastikmatta vikbar	70	7	1
kajakställ	70	10	1
sänggavel till kontinentalsäng	70	20	0
kanotställ	30	0	
klädskåp metall	30	9	1,3
förvaring kajak	20	0	
hopfällbart biljardbord	20	0	
högtrycksaggregat	20	0	
kajakställning	20	0	
plåtskåp kläder	20	0	
poolbord	20	0	
säng på hjul	20	0	
sänggavel med ben	20	0	
tjockmatta hemma	20	0	
klädskåp låsbart	10	0	
vikbar träningsmatta	10	0	
hopfällbar säng med madrass	0	0	
hydraulisk bilramp	0	0	
högtryckstvätt el	0	0	
