# kort, huvudsökord, volym, svårighet, sekundära sökord ('–' = inget mätvärde, Semrush-enheterna slut)
c0c6f5cf	eldskydd	170	12	gnistskydd; gnistskydd öppen spis; brasskydd
9dd510a8	krypmatta	–	–	lekmatta; lekmatta baby
34e4947c	pall till sminkbord	210	20	sminkpall; salongspall; pall med hjul
14fb0f98	kantskydd studsmatta	–	–	studsmatta 305
3fe90624	bred fåtölj	–	–	fåtölj; loungefåtölj; fåtölj med armstöd
46d8342f	elektrisk reclinerfåtölj	–	–	tv-fåtölj; fåtölj med fotstöd
e4e8c76b	barpall	1600	23	barstolar; barstol höj och sänkbar; barstol snurrbar; barstolar 2-pack
7f304255	matbord 8 personer	–	–	utdragbart matbord; matbord
13a52237	matbord runt	4400	22	runt matbord; runt bord
477bcd1f	skänk vit	1300	16	sideboard; skänk
e3804952	airfryer ugn	–	–	varmluftsfritös; miniugn; airfryer
81a7d7e4	elmotorcykel för småbarn	–	–	elmotorcykel barn
b92a1717	halloweendekoration utomhus	480	12	halloween dekoration utomhus; halloween clown
d99fb2f8	halloweendekoration	2400	18	halloween dekoration; halloween clown
cbd1c1cb	cykelförråd	–	–	redskapsbod metall; redskapsbod; plåtbod
# Publicerade slugar med huvudordet, sökta i butikens sökning 2026-09-24: eldskydd 0, krypmatta 0, pall till sminkbord 0, kantskydd studsmatta 0, bred fåtölj 0, elektrisk reclinerfåtölj 0, barpall 0, matbord 8 personer 0, matbord runt 0, skänk vit 0, airfryer ugn 0, elmotorcykel för småbarn 0, halloween dekoration utomhus 0, halloween dekoration 0, cykelförråd 0.
# c0c6f5cf: gnistskydd (1 300) och gnistskydd öppen spis (590) bärs av tio publicerade gnistskydd, gnistgaller (390) av N65:s. Rundan tar eldskydd (170).
# 34e4947c: sminkpall (390) bärs av den publicerade sminkpallen i rosa teddytyg och salongspall av fyra publicerade sidor. Rundan tar pall till sminkbord (210).
# 3fe90624: fåtölj (60 500) är för brett och loungefåtölj (2 400) bärs av en publicerad sida. Rundan tar bred fåtölj, utan mätvärde, efter sitsens 83 cm.
# 46d8342f: tv-fåtölj bärs av tio publicerade sidor. Rundan tar elektrisk reclinerfåtölj, utan mätvärde.
# e4e8c76b: barstolar (8 100) bärs av publicerade barstolar; barpall (1 600) av ingen. Pallarna saknar ryggstöd, så barpall är också det riktiga ordet.
# 7f304255: utdragbart matbord bärs av tre publicerade bord. Rundan tar matbord 8 personer, utan mätvärde.
# 13a52237: runt matbord (18 100) och runt bord (3 600) bärs av flera publicerade bord. Rundan tar matbord runt (4 400), som ingen slug bär.
# e3804952: varmluftsfritös bärs av fyra publicerade sidor och airfryer av en. Rundan tar airfryer ugn, utan mätvärde.
# b92a1717 och d99fb2f8: halloween clown (1 300) bärs av den publicerade sidan med tre stapelbara clowner. Rundan tar halloweendekoration utomhus (480) och halloweendekoration (2 400), ett ord per clown.
# cbd1c1cb: redskapsbod bärs av tretton publicerade bodar. Rundan tar cykelförråd, utan mätvärde; källan nämner förrådet som cykelförråd.
