25405611	b379ce_c3df7c6a7bf0428fb61c8ced7798aadb~mv2.jpg	Gul gungstol i manchester med bokmedar, mot vit bakgrund
25405611	b379ce_5f74a6a272f44992af7eb5925b183602~mv2.jpg	Gungstolen i ett vardagsrum med en person som läser
25405611	b379ce_dd66530702304f829cb8608e1beb6328~mv2.jpg	Närbild på den gula manchesterns lodräta kanaler på sitsen
25405611	b379ce_b1584848c95643fbb1bf899424119169~mv2.jpg	Gungstolens rygg och armstöd sedda snett bakifrån vid ett bord
25405611	b379ce_118d88911630461ba6345149d483ad80~mv2.jpg	Måttskiss: 98 × 71 cm golvyta, 101 cm höjd och 120 kg maxlast
3b5a67d9	b379ce_9140a29748744e2db97c410739b031e0~mv2.jpg	Ljusgrå gungstol i manchester med bokmedar, mot vit bakgrund
3b5a67d9	b379ce_674dd6f3d0774d59a655218da372f538~mv2.jpg	Gungstolen i ett vardagsrum med en person som läser
3b5a67d9	b379ce_ddd84545edb34cffbd94557c3a860823~mv2.jpg	Närbild på den ljusgrå manchesterns lodräta kanaler på ryggen
3b5a67d9	b379ce_460072f2e3104f94acdc9f53cdb9fa55~mv2.jpg	Sitsen och det svängda armstödet sedda snett uppifrån
3b5a67d9	b379ce_187a181b92e44f1da0805070dd98e76c~mv2.jpg	Måttskiss: 98 × 71 cm golvyta, 101 cm höjd, rygg 73 × 66 cm
3dbd4f08	b379ce_006b3661ad8d4122ba14b8b12b5c4385~mv2.jpg	Beige gungstol i manchester med bokmedar, mot vit bakgrund
3dbd4f08	b379ce_8fe07755fbab42efa899fc943313aeb3~mv2.jpg	Gungstolen i ett ljust rum med en person som läser
3dbd4f08	b379ce_42228e9ce29048768e98776ba9ff5d25~mv2.jpg	Närbild på den beiga manchesterns lodräta kanaler på ryggen
3dbd4f08	b379ce_f5ba1954bae94d529236245dd2ca0713~mv2.jpg	Ryggens böjda överkant och armstödet sedda snett framifrån
3dbd4f08	b379ce_59d203bf40f14f4eb066fabf274e7544~mv2.jpg	Måttskiss: 98 × 71 cm golvyta, 101 cm höjd, rygg 73 × 66 cm
48432e48	b379ce_98f014b5aab3425390b2756f3cd4f364~mv2.jpg	Mörkgrå gungstol i sammetslook med rutstickad rygg, mot vit bakgrund
48432e48	b379ce_e707cc81b2444a2f8eb933588ffaefd4~mv2.jpg	Gungstolen i ett vardagsrum bredvid ett litet bord och en krukväxt
48432e48	b379ce_f210de98e083415780868be0c9aeafce~mv2.jpg	Närbild på den rutstickade ryggen i mörkgrå sammetslook
