fee40f78	Smådjursbur 150 cm med fem plan och hängmatta | Fyndplats	
b3e20f91	Hönsgård 280 cm med gånghöjd och fyra värpreden | Fyndplats	
e1f10ce1	Vattenfontän för katt 3,2 liter, dubbelt filter | Fyndplats	
328e4d6c	Hundkoja 109 cm med uppfällbart asfalttak | Fyndplats	
de64bbc8	Multigym 250 cm med bänk och dipstation | Fyndplats	
61354a0f	Loungeset i rotting, 4 delar i L-form 191 cm | Fyndplats	
cc2add44	Foliehus 200 × 75 × 188 cm med rullbar dörr | Fyndplats	
75b88995	Tunnelväxthus 600 × 300 cm i förzinkat stål | Fyndplats	
b8496223	Tunnelväxthus 300 × 200 cm i förzinkat stål | Fyndplats	
5dd1a836	Redskapsbod i metall 2,81 m², skjutdörr, mörkgrå | Fyndplats	
eac7fdca	Svart växthus 192 × 192 cm med takfönster | Fyndplats	
2c3f2a17	Plåtbod 8,9 m² med dubbla skjutdörrar – grön | Fyndplats	
184e9c32	Plåtbod 8,9 m² med dubbla skjutdörrar – grå | Fyndplats	
e0b85bb6	Miniväxthus i trä med uppfällbart tak – grått | Fyndplats	
83a5fc0e	Miniväxthus i trä med uppfällbart tak – brunt | Fyndplats	
87485b8a	Drivbänk i trä och polykarbonat 90 × 46 cm, grå | Fyndplats	
ad667726	Bågtunnelväxthus 360 × 90 cm, fyra dörrar, grönt | Fyndplats	
3e60d4ee	Bågtunnelväxthus 360 × 90 cm, transparent duk | Fyndplats	
1a46d2af	Växthus 190 × 252 cm, takfönster och skjutdörr | Fyndplats	
69c5e15c	Hörnsoffa 242 cm med vändbar schäslong, beige | Fyndplats	
3e9796c2	Naturehike Mongar trekkingtält, två ingångar | Fyndplats	
4f2c288d	Balkongset 3 delar med två repstolar och bord | Fyndplats	
927bd0b8	Konstgjord arecapalm 190 cm med tre stammar | Fyndplats	
21344450	Elementskydd 78 cm, spjälat radiatorskydd, vitt | Fyndplats	
8fea992e	Spegelskåp badrum 60 cm med hyllor, ljus ek | Fyndplats	
bb5297b7	Pop-up-tält 6 × 3 m med sex avtagbara väggar | Fyndplats	
44ff2bac	Boxboll med väggfäste och roterande plattform | Fyndplats	Väggmonterad boxboll med Ø 60 cm plattform i stål och MDF, vridbart fäste och höjdjusterbar konsol. Boll Ø 16 × 22 cm i konstläder.
4ff03bbd	Keramikvärmare 2000 W, termostat och oscillation | Fyndplats	Keramikvärmare 2000 W med PTC-element, termostat 10–49 °C och 55° oscillation. Värmer upp till 15 m². Tipp- och överhettningsskydd.
efb9b9b5	Skafferiskåp 104 cm med 12 dörrhyllor | Fyndplats	
9521d113	Scottbänk 2-i-1 för biceps och triceps | Fyndplats	
f4661601	Smal badrumspelare 170 cm med bambudörrar | Fyndplats	
89aa6d9c	Drivbänk 120 × 60 cm, låg odlingstunnel | Fyndplats	
7bf0bb41	Elementskydd 112 cm, spjälat radiatorskydd, vitt | Fyndplats	
9d3f9ef1	Hopfällbar hundramp till bil 158 cm | Fyndplats	
66411959	CNC-fräs 3-axlig med GRBL för trä och akryl | Fyndplats	3-axlig CNC-fräs med GRBL-styrning för trä, akryl, MDF och mjuka metaller. Aluminiumstomme, USB-anslutning och 0,05 mm precision. Två storlekar.
ec9ba819		Förvaringsbänk 116 cm i grå linneväv med två lock och två fack på 52 × 32 × 22 cm. Sitshöjd 47 cm, djup 41 cm, stålstomme och 150 kg bärighet.
0fc3c252	Vitt foliehus med hyllor och rullbar dörr | Fyndplats	Foliehus 198 × 275 × 191 cm i förzinkat stål och UV-beständig PE-duk. Invändiga hyllor som bär 50 kg per hylla, rullbar dörr och sex nätfönster.
