# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
mc bock	27100	33	1
klädhängare	18100	16	1
klädställning	9900	20	1
köksassistent	9900	29	0
bakmaskin	8100	26	1,3
metalldetektor	6600	21	1
hushållsassistent	5400	25	1,0
köksmaskin	5400	19	1,0
förvaringshylla	4400	30	2
resväska stor	4400	20	1
stor resväska	4400	19	1
saxlyft	2400	13	1,3
värmeelement	2400	21	1
elelement	1900	18	1
klädförvaring	1900	29	1
laddkabel elbil	1900	20	1
mc lyft	1900	18	1
sadelstol	1900	13	1
degblandare	1600	14	1
laddkabel typ 2	1600	23	1
ritbord	1300	18	1
båglampa	1000	18	1,3
dagsljuslampa	1000	19	0
hylla med lådor	1000	26	1
parallettes	1000	13	1
elradiator	880	18	1
gungbräda	880	14	1,3
konvektor	880	12	1
öppen garderob	880	25	1
elelement vägg	720	18	1,0
liten garderob	720	26	1,3
lyftbord mc	720	15	1
mc lyftbord	720	14	1
typ 2 laddkabel	720	13	1
wifi element	720	17	0
dipsställning	590	13	1
golvlampa båge	590	13	1,3
balansbräda barn	480	13	1
kattlådemöbel	480	20	1
golvlampa dimbar	390	12	1
kattlåda skåp	390	16	1,3
metalldetektor guld	320	9	1
metallsökare	260	15	1
sittpinnar höns	260	13	1
sittpinne höns	260	13	1
fransstylist	210	23	2
led golvlampa	210	13	1,3
mc lift	210	15	1
panelelement	210	17	1
resväska large	210	18	1
ståpall	210	18	1,0
arkitektbord	170	15	1
balanspall	170	20	1
ergonomisk pall	170	11	1
kubhylla	170	17	1
metalldetektor barn	170	18	0
motorcykellyft	170	11	1
resväska expanderbar	170	14	0
ritbord barn	170	18	1
elektriskt element	140	24	0
förvaringshylla med lådor	140	29	1
resväska 100 liter	140	18	0
sittpinnar till höns	140	14	1
smart element	140	22	2
dips station	110	13	1,0
dipstation	110	13	1,0
motorcykel lyft	110	12	1
typ 2 kabel	110	12	0
gungbräda barn	90	9	1,3
ståstöd	90	11	1
dipställning	70	8	1,0
saxlyft mc	70	8	1
metalldetektor vattentät	50	11	0
elelement wifi	40	14	1
dipsställning hemma	30	0	
kattlådeskåp	30	11	1
lash lamp	30	6	1,3
mc domkraft	30	14	1
resväska 4 hjul	30	13	1
arbetslampa golv	20	0	
balansbom barn	20	0	
dipsbar	20	0	
dold kattlåda	20	0	
domkraft mc	20	0	
elelement badrum	20	0	
elelement med termostat	20	0	
fransförlängning lampa	20	0	
garderob på hjul	20	0	
gungbräda trä	20	0	
lampa fransförlängning	20	0	
lutande skrivbord	20	0	
möbel för kattlåda	20	0	
resväska hårt skal	20	0	
ritbord trä	20	0	
golvlampa dagsljus	10	0	
hönsgunga	10	0	
aktiv pall	0	0	
aktivering höns	0	0	
golvlampa med fjärrkontroll	0	0	
gungbräda inomhus	0	0	
metalldetektor nybörjare	0	0	
ritbord vuxen	0	0	
salongslampa	0	0	
