# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
resväska	40500	21	1
bokhylla	18100	27	1,0
sittpuff	14800	20	1
höj och sänkbart skrivbord	8100	23	1
skjutdörr	3600	17	3
vedställ	3600	25	1
pallar	2900	18	1
datorbord	2400	17	1
mosaikbord	2400	19	1,3
pulpet	1900	16	1
skjutdörr beslag	1900	13	1,0
skjutdörrsbeslag	1900	13	1,0
vedställ inomhus	1900	21	1
pall trä	1600	21	1
puff med förvaring	1300	18	1
vedförvaring	1300	16	0
barnpall	1000	13	1
hinderbana barn	1000	19	1
höj och sänkbart bord	1000	22	1
lastramp	1000	13	1,0
badrumsskåp smalt	880	20	0
pall barn	880	17	1
skena skjutdörr	880	17	1
blompall	720	18	1
klättervägg katt	720	13	1
piedestal blommor	720	18	1
resväska medium	720	18	0
smalt badrumsskåp	720	18	1,3
vedställ utomhus	590	15	1
balansbräda barn	480	13	1
sminkpall	390	10	1
vedhylla	390	21	1
rund pall	320	13	1,3
blomställ	260	13	1,0
litet datorbord	260	16	1,3
smal hylla badrum	260	18	1,3
stapelbar pall	260	11	1,3
stapelbara pallar	260	11	1,3
förvaring toalettpapper	210	13	1
förvaringspuff	210	17	1
kattvägg	210	25	1
lastramper	210	10	1
pall till sminkbord	210	20	1,3
ramp till släp	210	8	1
skjutdörrsskena	210	9	1
skrivbord på hjul	210	12	1
bokhylla metall	170	13	1,3
katthylla vägg	170	15	1
rund puff	140	12	1,3
stående skrivbord	140	22	1
datorbord på hjul	110	11	1
motorikbana	110	10	1
stor puff	110	13	1
balansbom	90	8	1
blompelare	90	13	1
ståpulpet	90	8	1
ståskrivbord	90	21	1,3
balansbana	50	9	1
katthus vägg	30	0	
resväska 66 cm	30	8	0
atv ramp	20	0	
badrumsskåp på hjul	20	0	
balansbom barn	20	0	
hylla industristil	20	0	
körramp	20	0	
ladudörr	20	0	
pall rosa	20	0	
puff rosa	20	0	
resväska hårt skal	20	0	
resväska tsa lås	20	0	
blomsterpelare	10	0	
bokhylla industri	10	0	
bokhylla industristil	10	0	
datorbord med hjul	10	0	
hårdskalsväska	0	0	
klätterhyllor katt	0	0	
