# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
snöslunga	22200	26	0
snöskyffel	9900	22	1,0
badrumshylla	8100	28	1
badrumshyllor	8100	28	1
julbelysning utomhus	6600	21	1
förvaringshylla	4400	30	2
hylla badrum	4400	23	1
julbelysning	3600	21	1
snöröjning	3600	26	1
smal hylla	2900	22	1
lyktstolpe	2400	14	1
juldekoration utomhus	1300	18	1
snöplog	1300	11	1
bajspall	880	18	1
squatty potty	590	63	2
snöskrapa	390	17	1
toalett pall	390	18	1
toalettpall	390	18	1
gatlykta	320	20	1
snöskovel	320	20	1
bambuhylla	260	11	1
lyktstolpe utomhus	260	10	1
snöskyffel aluminium	210	18	1,3
snöskyffel med hjul	210	11	1,3
bambu hylla	170	11	1
hylla bambu	140	11	1
pall toalett	140	23	1
snöskyffel bred	140	18	1,0
badrumshylla bambu	110	16	1,3
juldekoration trädgård	110	16	1
toalettpall barn	110	16	1
julgirlang utomhus	90	13	1,3
julbelysning trädgård	30	14	1
fotpall toalett	20	0	
hylla 4 plan	20	0	
snöplog manuell	20	0	
badrumshylla fristående	0	0	
julbelysning entré	0	0	
wc pall	0	0	
