# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
pingisbord	8100	20	1
skjutdörrar	6600	18	1
entrétak	4400	20	3
hemmagym	3600	14	1
skjutdörr	3600	17	3
skjutdörr inomhus	2400	18	1,3
skärmtak	2400	18	1
multigym	1900	23	1
smithmaskin	1600	13	1
soptunneskydd	1300	15	1
bordtennis bord	1000	18	0
bordtennisbord	1000	18	0
glasdörr inomhus	1000	13	0
squat rack	1000	12	1
power rack	880	11	1
skjutdörr glas	590	13	1
skjutdörr med skena	590	23	1,3
smith maskin	590	11	1,3
entrétak glas	480	10	1,3
glastak	480	15	1
ladugårdsdörr	480	18	1
kärlskåp	320	11	1
sopkärlsskydd	260	13	1
pingisbord inomhus	210	14	0
power cage	210	10	1
skjutdörr badrum	210	11	1
sopskåp	170	8	1
träningsställning	170	13	1
glasskjutdörr	140	17	1
pingisbord hopfällbart	140	15	0
skärmtak glas	110	9	1
skärmtak ytterdörr	110	18	1
glastak entré	50	9	1
skjutdörr frostat glas	30	13	0
skjutdörr svart	30	17	1
sopkärlsskåp	30	7	1
soptunnegömma	10	0	
knäböjsställning	0	0	
soptunnebox	0	0	
