08b40e95	vit	GOLVLAMPA MED FJÄRRKONTROLL	Höjdjusterbar 133–168 cm	måtten i klartext · dimbar 3000–6000 K	Mått=40 × 40 × 133-168&nbsp;<span class=u>cm</span>|Färg=silver/beige|Ljusflöde=800&nbsp;<span class=u>lm</span>|Vikt=6&nbsp;<span class=u>kg</span>
222f59d6	vit	BYRÅ MED SJU LÅDOR	Brun, beige och svart	måtten i klartext · MDF-skiva	Mått=80 × 29 × 78,5&nbsp;<span class=u>cm</span>|Material=tyg, metall, MDF|Maxbelastning=48&nbsp;<span class=u>kg</span>|Vikt=11,5&nbsp;<span class=u>kg</span>
2dedb89b	vit	SIDOBORD I RATTAN	Skiva i härdat glas	måtten i klartext · väderbeständigt	Mått=60 × 60 × 50&nbsp;<span class=u>cm</span>|Material=PE-rattan, härdat glas|Maxbelastning=50&nbsp;<span class=u>kg</span>|Vikt=9,4&nbsp;<span class=u>kg</span>
463b807e	vit	BARSTOLAR 2-PACK	Höjdjusterbara, svart	måtten i klartext · vridbar sits	Mått=41 × 42 × 82-104&nbsp;<span class=u>cm</span>|Material=konstläder, stål|Maxbelastning=120&nbsp;<span class=u>kg</span> per stol|Vikt=13&nbsp;<span class=u>kg</span>
87c4d80b	vit	PLANTETAGERIE MED SPALJÉ	Tvåstegs, granträ	måtten i klartext · skyddstak	Mått=75 × 50 × 166&nbsp;<span class=u>cm</span>|Material=granträ|Maxbelastning=30&nbsp;<span class=u>kg</span> per hylla|Vikt=10&nbsp;<span class=u>kg</span>
9d4b2bd0	vit	ODLINGSBORD I TRE NIVÅER	120 × 120 cm, granträ	måtten i klartext · trappade nivåer	Mått=120 × 120 × 56&nbsp;<span class=u>cm</span>|Material=granträ|Avstånd mellan nivåerna=17&nbsp;<span class=u>cm</span>|Vikt=14,5&nbsp;<span class=u>kg</span>
a492b6f8	vit	HALLTRÄD MED KROKAR OCH LÅDOR	180,5 cm, svart	måtten i klartext · tippskydd ingår	Mått=80 × 30 × 180,5&nbsp;<span class=u>cm</span>|Material=träfiberskiva, stål|Maxbelastning=30&nbsp;<span class=u>kg</span> totalt|Vikt=14,5&nbsp;<span class=u>kg</span>
c88b22ce	vit	SKÄRMTAK I POLYKARBONAT	303 cm, brun/svart	måtten i klartext · UV-skydd	Mått=303 × 96 × 27&nbsp;<span class=u>cm</span>|Väggfäste=96 × 27&nbsp;<span class=u>cm</span>|Material=polykarbonat, aluminium|Vikt=10&nbsp;<span class=u>kg</span>
cfc2d4f4	vit	POLEDANCE-MATTA	Ø150 cm, rosa	måtten i klartext · vikbar	Mått=Ø150 × 5&nbsp;<span class=u>cm</span>|Hopvikt=75 × 75 × 20&nbsp;<span class=u>cm</span>|Material=plast|Vikt=6&nbsp;<span class=u>kg</span>
db1118d0	vit	BASKETKORG FÖR VÄGGMONTERING	113 × 73 cm	måtten i klartext · monteringssats ingår	Mått=113 × 61 × 73&nbsp;<span class=u>cm</span>|Ringdiameter=Ø45&nbsp;<span class=u>cm</span>|Material=stål|Vikt=12&nbsp;<span class=u>kg</span>
